Date,Open,High,Close,Low,Change %
44112,"8,211.20","8,234.60","8,362.00","8,132.80",-0.19%
44111,"8,227.00","7,886.20","8,342.00","7,794.90",4.36%
44110,"7,883.10","8,162.50","8,183.10","7,807.10",-3.42%
44109,"8,162.50","8,170.10","8,210.70","8,040.00",-0.09%
44108,"8,170.00","8,260.50","8,264.90","8,040.00",-1.06%
44107,"8,257.90","8,414.90","8,440.00","8,100.70",-1.85%
44106,"8,413.40","8,333.70","8,419.90","8,193.50",0.94%
44105,"8,334.90","8,331.10","8,539.00","8,228.00",0.05%
44104,"8,331.10","8,090.10","8,384.00","7,753.00",2.98%
44103,"8,090.00","8,238.20","8,260.20","7,930.70",-1.80%
44102,"8,238.60","8,215.30","8,354.70","8,047.90",0.31%
44101,"8,213.40","8,105.90","8,296.50","7,906.30",1.35%
44100,"8,103.60","8,475.30","8,489.90","7,800.10",-4.38%
44099,"8,474.70","8,535.00","8,770.00","8,266.10",-0.86%
44098,"8,547.90","9,702.60","9,788.10","8,110.10",-11.90%
44097,"9,702.60","10,055.00","10,077.00","9,627.50",-3.48%
44096,"10,052.00","10,012.00","10,105.00","9,881.40",0.39%
44095,"10,013.00","10,197.00","10,199.00","9,958.10",-1.81%
44094,"10,198.00","10,303.00","10,340.00","10,105.00",-1.00%
44093,"10,301.00","10,185.00","10,417.00","9,655.00",1.14%
44092,"10,185.00","10,214.10","10,278.00","10,111.00",-0.28%
44091,"10,214.10","10,290.00","10,308.00","10,171.00",-0.79%
44090,"10,295.00","10,321.00","10,399.00","10,100.00",-0.26%
44089,"10,322.00","10,381.00","10,402.00","10,287.00",-0.55%
44088,"10,379.00","10,374.00","10,478.00","10,256.00",0.05%
44087,"10,374.00","10,452.00","10,475.00","10,170.00",-0.75%
44086,"10,452.00","10,174.20","10,488.00","10,065.10",2.72%
44085,"10,175.00","10,121.00","10,297.00","9,866.50",0.52%
44084,"10,122.00","10,317.00","10,399.00","9,961.70",-1.90%
44083,"10,318.00","10,417.00","10,542.00","10,118.60",-0.93%
44082,"10,415.00","10,489.00","10,599.00","10,257.00",-0.70%
44081,"10,488.00","10,305.00","10,581.00","10,305.00",1.66%
44080,"10,317.00","10,582.90","10,933.00","10,218.00",-2.47%
44079,"10,578.70","10,593.00","10,663.00","10,483.00",-0.11%
44078,"10,590.00","10,642.00","10,841.20","10,411.00",-0.48%
44077,"10,641.00","10,401.00","10,766.00","10,300.00",2.44%
44076,"10,388.00","9,783.00","10,473.00","9,754.90",6.23%
44075,"9,779.10","9,623.90","9,858.00","9,560.10",1.61%
44074,"9,623.90","9,600.70","9,710.20","9,472.10",0.24%
44073,"9,601.00","9,509.40","9,710.00","9,384.30",0.97%
44072,"9,509.00","9,727.30","9,727.30","9,360.40",-2.25%
44071,"9,727.40","10,190.00","10,303.00","9,585.30",-4.48%
44070,"10,184.00","10,376.20","10,392.00","10,036.90",-1.86%
44069,"10,377.00","10,144.00","10,654.00","10,144.00",2.42%
44068,"10,132.00","10,162.00","10,349.00","9,881.10",-0.20%
44067,"10,152.00","10,414.00","10,427.00","9,900.00",-2.46%
44066,"10,408.00","10,117.00","10,461.00","10,063.00",2.88%
44065,"10,117.00","10,147.00","10,247.00","9,790.00",-0.29%
44064,"10,146.00","10,795.00","10,825.00","9,880.00",-5.99%
44063,"10,793.00","10,947.00","10,986.00","10,588.00",-1.32%
44062,"10,937.00","10,329.00","10,960.00","10,280.00",5.91%
44061,"10,327.00","10,230.00","10,529.00","10,086.00",0.97%
44060,"10,228.00","10,372.00","10,487.00","10,004.10",-1.33%
44059,"10,366.00","10,324.00","10,568.00","9,783.40",0.38%
44058,"10,327.00","10,067.00","10,470.00","9,522.50",2.58%
44057,"10,067.00","10,904.00","10,909.00","9,980.00",-7.68%
44056,"10,904.00","11,411.00","11,468.00","10,801.00",-4.38%
44055,"11,404.00","11,577.00","11,578.80","11,272.00",-1.57%
44054,"11,586.00","11,308.00","11,594.00","11,158.00",2.40%
44053,"11,314.00","11,892.00","12,003.00","11,263.00",-4.87%
44052,"11,893.00","12,051.00","12,092.70","11,711.00",-1.38%
44051,"12,060.00","11,999.00","12,126.00","11,570.00",0.53%
44050,"11,997.00","11,472.00","12,122.00","11,386.00",4.58%
44049,"11,471.20","11,824.00","12,307.00","11,268.00",-2.85%
44048,"11,808.00","10,974.00","11,938.00","10,973.00",7.61%
44047,"10,973.00","10,822.00","11,060.00","10,595.00",1.40%
44046,"10,822.00","10,520.00","10,910.00","10,506.00",2.88%
44045,"10,519.00","10,400.00","10,648.30","10,345.00",1.15%
44044,"10,399.00","10,096.00","10,500.00","9,899.90",3.08%
44043,"10,088.00","9,588.90","10,099.00","9,575.50",5.20%
44042,"9,589.00","9,503.50","9,736.00","9,401.60",0.86%
44041,"9,507.00","9,530.00","9,690.00","9,396.60",-0.13%
44040,"9,519.00","9,463.10","9,604.20","9,112.30",0.56%
44039,"9,465.70","9,840.30","10,189.00","9,300.30",-3.83%
44038,"9,842.50","9,888.00","9,899.00","9,672.00",-0.48%
44037,"9,890.10","9,772.00","10,180.00","9,735.00",1.22%
44036,"9,771.00","9,859.00","9,917.70","9,541.90",-0.85%
44035,"9,854.90","10,330.00","10,330.00","9,824.50",-4.59%
44034,"10,329.00","10,572.00","10,667.00","10,094.00",-2.27%
44033,"10,569.40","10,741.00","10,811.00","10,300.00",-1.59%
44032,"10,740.00","10,517.60","11,085.00","10,402.00",2.10%
44031,"10,519.00","10,624.00","10,759.00","10,132.70",-0.97%
44030,"10,622.00","9,691.20","10,750.00","9,271.60",9.70%
44029,"9,683.20","9,418.40","9,963.10","9,090.00",2.90%
44028,"9,410.00","10,813.00","10,991.00","9,378.00",-13.03%
44027,"10,820.00","10,193.00","11,043.00","9,920.60",6.01%
44026,"10,206.80","11,324.00","11,390.00","10,125.00",-9.77%
44025,"11,312.00","11,779.00","11,803.00","10,806.00",-3.85%
44024,"11,765.00","11,327.00","11,900.00","11,100.00",3.75%
44023,"11,340.00","12,092.00","12,092.00","11,006.00",-6.23%
44022,"12,093.00","12,564.00","13,173.00","11,572.00",-3.66%
44021,"12,553.00","12,301.50","12,811.00","12,173.00",2.05%
44020,"12,301.00","11,484.00","12,382.00","11,339.00",7.10%
44019,"11,486.00","11,276.00","11,618.00","11,121.60",1.80%
44018,"11,283.00","10,983.00","11,720.00","10,983.00",2.59%
44017,"10,998.00","11,141.00","11,440.00","10,802.00",-1.53%
44016,"11,169.00","12,000.00","12,063.50","11,057.00",-6.80%
44015,"11,984.00","10,903.00","12,004.00","10,903.00",10.29%
44014,"10,866.00","10,639.80","10,961.00","9,745.10",2.13%
44013,"10,639.00","10,777.00","11,221.00","10,099.00",-0.99%
44012,"10,745.00","11,973.00","12,229.00","10,705.00",-9.86%
44011,"11,921.00","12,350.70","12,350.70","11,375.00",-3.47%
44010,"12,349.00","11,183.00","12,404.00","10,812.00",10.26%
44009,"11,200.00","12,876.00","13,222.00","10,397.00",-13.02%
44008,"12,876.00","11,746.00","13,764.00","11,693.00",9.57%
44007,"11,751.00","11,070.00","11,780.00","10,992.40",6.32%
44006,"11,053.00","10,913.00","11,135.00","10,560.00",1.26%
44005,"10,916.00","10,745.00","11,368.00","10,576.00",1.56%
44004,"10,747.90","10,227.00","11,210.00","10,098.20",5.00%
44003,"10,236.00","9,557.80","10,249.00","9,557.80",7.10%
44002,"9,557.10","9,306.00","9,620.80","9,241.00",2.70%
